code,name,type,latitude,longitude
BNZ,Barneveld Zuid,stoptreinstation,52.128853,5.60246
UTM,Utrecht Maliebaan,stoptreinstation,52.087776184082,5.1313886642456
UTO,Utrecht Overvecht,knooppuntStoptreinstation,52.110000610352,5.1247220039368
FWD,Feanwâlden,stoptreinstation,53.2351834,5.9886615
UTT,Utrecht Terwijde,stoptreinstation,52.1000753,5.0439547
AMF,Amersfoort Centraal,knooppuntIntercitystation,52.153888702393,5.3705554008484
MG,Mantgum,stoptreinstation,53.1296368,5.7131996
AML,Almelo,knooppuntIntercitystation,52.358055114746,6.6538887023926
BSMZ,Bussum Zuid,stoptreinstation,52.26583480835,5.1630554199219
MP,Meppel,knooppuntStoptreinstation,52.69083404541,6.1975002288818
AMR,Alkmaar,knooppuntIntercitystation,52.63777923584,4.7397222518921
MT,Maastricht,knooppuntIntercitystation,50.850276947021,5.7055554389954
BDPB,Breda-Prinsenbeek,stoptreinstation,51.606388092041,4.7208333015442
MZ,Maarheeze,stoptreinstation,51.304986,5.629796
SPTN,Santpoort Noord,stoptreinstation,52.43388748169,4.6325001716614
DTC,Doetinchem,knooppuntStoptreinstation,51.9585962,6.2962148
NA,Nieuw Amsterdam,sneltreinstation,52.718612670898,6.8486108779907
ANA,Anna Paulowna,stoptreinstation,52.867221832275,4.8111109733581
MES,Meerssen,sneltreinstation,50.882879392551,5.7509994506836
NH,Nuth,stoptreinstation,50.919445037842,5.8927779197693
UTVR,Utrecht Vaartsche Rijn,knooppuntStoptreinstation,52.078889,5.121667
NM,Nijmegen,knooppuntIntercitystation,51.843612670898,5.8522224426269
NS,Nunspeet,stoptreinstation,52.370834350586,5.7852778434753
TPSW,Tiel Passewaaij,stoptreinstation,51.873889923096,5.39222240448
KBD,Krabbendijke,stoptreinstation,51.433334350586,4.1169443130493
SRN,Susteren,stoptreinstation,51.061389923096,5.8630557060242
KPNZ,Kampen Zuid,stoptreinstation,52.5331,5.91309
LDM,Leerdam,stoptreinstation,51.894721984863,5.0913887023926
KBK,Klarenbeek,stoptreinstation,52.17805480957,6.0836110115051
LDL,Leiden Lammenschans,stoptreinstation,52.146945953369,4.4924998283386
OP,Opheusden,stoptreinstation,51.9261615,5.6371145
OT,Oisterwijk,stoptreinstation,51.582221984863,5.1941666603088
AMFS,Amersfoort Schothorst,stoptreinstation,52.174822137451,5.4038887023926
OW,Oss West,stoptreinstation,51.758056640625,5.5055556297302
SSH,Sassenheim,stoptreinstation,52.215278,4.517222
DVNK,De Vink,stoptreinstation,52.147220611572,4.4563889503479
DVC,Deventer Colmschate,stoptreinstation,52.2502784729,6.2144446372986
DVD,Duivendrecht,knooppuntStoptreinstation,52.323333740234,4.9363889694214
PMO,Purmerend Overwhere,stoptreinstation,52.511390686035,4.9683332443237
PMR,Purmerend,knooppuntStoptreinstation,52.50305557251,4.9536108970642
APD,Apeldoorn,knooppuntIntercitystation,52.209167480469,5.9702777862549
BRD,Barendrecht,stoptreinstation,51.854721069336,4.5533332824707
APG,Appingedam,stoptreinstation,53.3258135,6.8619577
PMW,Purmerend Weidevenne,stoptreinstation,52.496590632542,4.9356293678284
DVN,Duiven,stoptreinstation,51.943332672119,6.0147223472595
APN,Alphen a/d Rijn,knooppuntIntercitystation,52.124443054199,4.6577777862549
BRN,Baarn,knooppuntStoptreinstation,52.208332061768,5.2808332443237
STD,Sittard,knooppuntIntercitystation,51.001667022705,5.8586111068726
PT,Putten,stoptreinstation,52.264999389648,5.5752778053284
STM,Stedum,stoptreinstation,53.3262092,6.6875551
ASSP,Amsterdam Science Park,stoptreinstation,52.35526,4.94651
BSD,Beesd,stoptreinstation,51.899444580078,5.1944446563721
DWE,De Westereen,stoptreinstation,53.24817,6.03463
STV,Stavoren,stoptreinstation,52.8865535,5.3600212
STZ,Soest Zuid,stoptreinstation,52.165279388428,5.3030557632446
BSK,Boskoop,stoptreinstation,52.077777862549,4.6469445228577
RSD,Roosendaal,knooppuntIntercitystation,51.540279388428,4.4583334922791
ZBM,Zaltbommel,stoptreinstation,51.80888748169,5.2633333206177
SKND,Sneek Noord,stoptreinstation,53.0409319,5.6631808
TWL,Twello,stoptreinstation,52.237777709961,6.0986108779907
RSN,Rijssen,stoptreinstation,52.3122215271,6.5202779769897
NKK,Nijkerk,stoptreinstation,52.222221374512,5.4938888549805
RB,Rilland-Bath,stoptreinstation,51.422779083252,4.1611108779907
OMN,Ommen,knooppuntSneltreinstation,52.50944519043,6.4158334732056
RD,Roodeschool,stoptreinstation,53.421262,6.7587
RH,Rheden,stoptreinstation,52.0101,6.0314
UTZL,Utrecht Zuilen,stoptreinstation,52.103055,5.09
RSW,Rijswijk,stoptreinstation,52.039722442627,4.3191666603088
RL,Ruurlo,stoptreinstation,52.0810888,6.4492656
BTL,Boxtel,knooppuntStoptreinstation,51.58433,5.31912
CVM,Chevremont,stoptreinstation,50.876110076904,6.0597224235535
RM,Roermond,knooppuntIntercitystation,51.193054199219,5.9941668510437
ARN,Arnemuiden,stoptreinstation,51.501667022705,3.6691665649414
RTA,Rotterdam Alexander,intercitystation,51.951946258545,4.5536112785339
RS,Rosmalen,stoptreinstation,51.714721679688,5.3680553436279
RTB,Rotterdam Blaak,stoptreinstation,51.920276641846,4.4888887405395
RTD,Rotterdam Centraal,megastation,51.92499923706,4.468888759613
RV,Reuver,stoptreinstation,51.28321916653,6.0789585113525
RTN,Rotterdam Noord,stoptreinstation,51.942222595215,4.4816665649414
ASA,Amsterdam Amstel,intercitystation,52.346668243408,4.9177780151367
ASB,Amsterdam Bijlmer ArenA,knooppuntStoptreinstation,52.3122215271,4.9469442367554
SD,Soestdijk,stoptreinstation,52.183612823486,5.3000001907349
ASD,Amsterdam Centraal,megastation,52.378887176514,4.9002776145935
SK,Sneek,knooppuntStoptreinstation,53.0328688,5.6523969
RTZ,Rotterdam Zuid,stoptreinstation,51.904445648193,4.5102777481079
SM,Swalmen,stoptreinstation,51.23582,6.03228
SN,Schinnen,stoptreinstation,50.939167022705,5.8744444847107
ASN,Assen,knooppuntIntercitystation,52.991664886475,6.5708332061768
ZDK,Zaandam Kogerveld,stoptreinstation,52.456665039062,4.8202776908875
ASS,Amsterdam Sloterdijk,knooppuntIntercitystation,52.388889312744,4.8377776145935
SWD,Sauwerd,stoptreinstation,53.29113,6.5404
ST,Soest,knooppuntStoptreinstation,52.173332214355,5.3099999427795
NMD,Nijmegen Dukenburg,stoptreinstation,51.824165344238,5.7955555915833
SWK,Steenwijk,intercitystation,52.791510992432,6.1145557632446
NMH,Nijmegen Heyendaal,stoptreinstation,51.826946258545,5.8674998283386
HAD,Heemstede-Aerdenhout,intercitystation,52.35916519165,4.6066665649414
NML,Nijmegen Lent,stoptreinstation,51.863154,5.859625
TB,Tilburg,knooppuntIntercitystation,51.560554504395,5.0836110115051
TG,Tegelen,stoptreinstation,51.33894,6.14253
ZTMO,Zoetermeer Oost,stoptreinstation,52.046390533447,4.4927778244019
TL,Tiel,knooppuntStoptreinstation,51.889446258545,5.4222221374512
ATN,Aalten,stoptreinstation,51.921326524551,6.5786272287369
DZW,Delfzijl West,stoptreinstation,53.3320834,6.9069092
RVS,Ravenstein,stoptreinstation,51.794166564941,5.6358332633972
HGLG,Hengelo Gezondheidspark,stoptreinstation,52.261667,6.773611
UT,Utrecht Centraal,megastation,52.088890075684,5.1102776527405
VB,Voorburg,stoptreinstation,52.066665649414,4.3594446182251
VD,Vorden,stoptreinstation,52.1071949,6.3170457
VG,Vught,stoptreinstation,51.655555725098,5.2919445037842
VH,Voorhout,stoptreinstation,52.224445343018,4.4844446182251
VK,Valkenburg,knooppuntSneltreinstation,50.869720458984,5.8322219848633
VL,Venlo,knooppuntIntercitystation,51.363609313965,6.1727776527405
VP,Velp,stoptreinstation,51.994720458984,5.9802780151367
WAD,Waddinxveen,stoptreinstation,52.044166564941,4.6497220993042
VS,Vlissingen,knooppuntIntercitystation,51.445835113525,3.5952777862549
NMGO,Nijmegen Goffert,stoptreinstation,51.8273,5.822722
VZ,Vriezenveen,stoptreinstation,52.40203,6.60041
HDB,Hardenberg,sneltreinstation,52.572776794434,6.6286110877991
HDE,'t Harde,stoptreinstation,52.4091682,5.893611
HDG,Hurdegaryp,stoptreinstation,53.2187783,5.934543
WC,Wijchen,stoptreinstation,51.811668395996,5.730833530426
DRON,Dronten,stoptreinstation,52.5344,5.72089
GBG,Gramsbergen,stoptreinstation,52.60916519165,6.6758332252502
WD,Woerden,knooppuntStoptreinstation,52.084999084473,4.8936109542847
WF,Wolfheze,stoptreinstation,52.005554199219,5.7936110496521
WH,Wijhe,intercitystation,52.390277862549,6.1405553817749
LLS,Lelystad Centrum,knooppuntIntercitystation,52.507778167725,5.4727778434753
WK,Workum,stoptreinstation,52.9724864,5.4564285
WL,Wehl,stoptreinstation,51.9578065,6.213844
GBR,Glanerbrug,stoptreinstation,52.218612670898,6.9744443893433
WM,Wormerveer,stoptreinstation,52.489166259766,4.7922220230103
HDR,Den Helder,intercitystation,52.955276489258,4.7611112594605
WP,Weesp,knooppuntStoptreinstation,52.3127784729,5.0430555343628
WS,Winschoten,knooppuntStoptreinstation,53.1392377,7.035101
WT,Weert,intercitystation,51.248611450195,5.7036108970642
